# Synthetic cluster and field from the UPMASK validation set.
# From:
# UPMASK: unsupervised photometric membership assignment in stellar clusters
# Krone-Martins, A., & Moitinho, A. 2014, A&A, 561, A57
#
RAJ2000;DECJ2000;Umag;Bmag;Vmag;Rmag;Imag;flag
513.865948;295.635300;20.008;18.936;17.715;16.933;16.173;0
523.658588;420.473156;19.812;19.102;17.623;16.880;16.181;0
415.234140;432.115908;19.828;18.920;17.667;16.902;16.164;0
225.867292;502.457828;19.977;18.873;17.569;16.843;16.158;0
532.720476;253.329476;19.985;18.860;17.724;16.817;16.160;0
539.182844;353.422436;19.924;18.928;17.558;16.883;16.213;0
568.633628;209.821924;19.788;18.879;17.654;16.791;16.184;0
318.483772;339.639876;19.903;18.903;17.620;16.821;16.168;0
443.576476;363.881060;19.796;18.800;17.552;16.823;16.108;0
507.366268;424.941444;19.852;18.827;17.604;16.893;16.161;0
480.533660;320.600196;19.761;18.889;17.614;16.806;16.170;0
386.711932;394.767652;19.658;18.785;17.513;16.811;16.094;0
511.387516;433.881188;19.808;18.786;17.507;16.739;16.108;0
473.155740;447.545476;19.882;18.819;17.565;16.694;16.079;0
541.663740;362.052420;19.640;18.848;17.486;16.746;16.037;0
391.223164;310.473860;19.824;18.712;17.486;16.821;16.100;0
421.886940;384.030948;19.682;18.766;17.489;16.741;16.048;0
479.984540;406.863428;19.727;18.707;17.465;16.724;16.000;0
351.712220;328.942244;19.793;18.823;17.396;16.698;16.017;0
439.798460;387.482660;19.634;18.787;17.468;16.713;16.012;0
436.545980;538.958468;19.692;18.663;17.483;16.706;15.969;0
616.811164;374.364324;19.740;18.523;17.418;16.728;16.002;0
458.257340;317.743012;19.499;18.670;17.380;16.631;15.970;0
367.597276;485.141540;19.650;18.797;17.397;16.660;15.945;0
445.155548;397.147876;19.498;18.737;17.397;16.641;15.994;0
377.499388;389.394372;19.527;18.623;17.328;16.672;15.980;0
489.629692;227.421572;19.508;18.595;17.361;16.649;15.915;0
480.883900;317.623332;19.501;18.523;17.436;16.611;15.952;0
491.133788;343.676964;19.389;18.660;17.320;16.566;15.967;0
511.585340;451.625156;19.603;18.647;17.271;16.555;15.953;0
349.666748;357.834052;19.415;18.565;17.330;16.594;15.939;0
534.357980;455.306724;19.293;18.546;17.235;16.593;15.928;0
428.723484;392.445860;19.388;18.409;17.315;16.547;15.907;0
527.728060;359.937604;19.487;18.533;17.243;16.489;15.910;0
529.155420;399.415812;19.228;18.546;17.293;16.511;15.859;0
460.772028;336.201188;19.380;18.509;17.275;16.557;15.865;0
476.966844;391.155428;19.106;18.403;17.243;16.513;15.863;0
376.084700;499.716452;19.307;18.421;17.164;16.533;15.847;0
472.517916;432.303876;19.242;18.473;17.155;16.487;15.858;0
478.104860;441.306628;19.291;18.408;17.146;16.482;15.865;0
420.487740;335.136036;19.223;18.458;17.184;16.469;15.821;0
446.351644;407.775460;19.116;18.390;17.150;16.476;15.771;0
282.166876;421.083172;19.105;18.369;17.163;16.432;15.825;0
439.433788;302.304996;19.320;18.328;17.139;16.410;15.783;0
442.570108;336.375076;19.230;18.376;17.138;16.470;15.764;0
432.936572;466.572132;19.214;18.255;17.123;16.457;15.765;0
490.284764;481.054820;19.115;18.478;17.138;16.455;15.761;0
326.203484;478.874884;19.015;18.406;17.060;16.370;15.774;0
456.081276;342.347460;19.085;18.415;17.038;16.337;15.756;0
485.801340;419.802244;19.038;18.164;17.097;16.363;15.794;0
548.447836;472.156964;19.099;18.179;17.080;16.358;15.737;0
552.515196;390.038532;19.006;18.212;17.094;16.351;15.702;0
433.869724;337.143844;18.940;18.309;17.053;16.372;15.739;0
419.596124;354.929348;18.965;18.302;17.006;16.362;15.722;0
462.868540;333.460868;18.915;18.252;17.043;16.317;15.718;0
284.361596;436.848900;19.025;18.158;17.043;16.321;15.724;0
436.487548;466.296516;19.032;18.186;16.972;16.290;15.683;0
445.428700;417.680388;18.956;18.124;16.999;16.353;15.686;0
315.229884;335.738660;18.829;18.088;16.984;16.287;15.651;0
454.473692;387.966660;18.960;18.099;16.945;16.316;15.602;0
421.230108;329.171044;18.926;18.185;16.907;16.267;15.633;0
411.626844;393.197028;18.965;18.050;16.939;16.282;15.611;0
417.146556;393.440612;18.932;18.078;16.875;16.245;15.618;0
450.165212;418.555812;18.780;18.122;16.910;16.231;15.632;0
446.459356;378.658372;18.807;18.081;16.918;16.257;15.633;0
463.347964;299.581572;18.675;18.112;16.891;16.271;15.592;0
381.801180;421.772388;18.733;18.087;16.833;16.216;15.616;0
291.867292;349.258628;18.652;18.097;16.890;16.116;15.575;0
474.738332;358.337060;18.808;18.013;16.839;16.182;15.537;0
501.113692;358.694692;18.660;18.033;16.806;16.161;15.544;0
444.566300;521.358116;18.670;18.009;16.861;16.156;15.530;0
316.510108;340.004900;18.621;18.020;16.835;16.212;15.538;0
555.843708;365.793828;18.572;17.877;16.863;16.152;15.508;0
363.744988;329.828580;18.512;17.973;16.810;16.169;15.550;0
483.581628;364.988804;18.601;17.878;16.795;16.109;15.531;0
463.472572;479.067076;18.519;17.900;16.796;16.145;15.513;0
513.229532;366.958596;18.586;17.856;16.769;16.112;15.500;0
405.282044;338.160420;18.569;17.889;16.723;16.093;15.499;0
516.893148;399.377444;18.334;17.834;16.777;16.081;15.451;0
405.131740;460.213956;18.580;17.883;16.689;16.044;15.467;0
470.307708;325.497572;18.612;17.932;16.708;16.055;15.437;0
426.013084;299.771300;18.472;17.872;16.644;16.058;15.437;0
397.273692;376.012740;18.519;17.834;16.688;16.009;15.463;0
275.936828;384.765572;18.452;17.688;16.717;16.029;15.428;0
412.825756;385.337220;18.402;17.797;16.619;16.034;15.424;0
443.060796;362.423428;18.421;17.815;16.634;16.019;15.342;0
386.406044;420.927588;18.291;17.732;16.667;15.957;15.357;0
493.719932;394.611364;18.274;17.735;16.590;15.964;15.388;0
369.280892;412.568292;18.302;17.704;16.641;15.993;15.350;0
496.930876;447.561668;18.396;17.663;16.566;15.971;15.370;0
362.544668;410.367940;18.383;17.663;16.581;15.970;15.327;0
320.352540;119.683876;18.232;17.648;16.576;15.998;15.312;0
432.056572;357.016356;18.179;17.696;16.563;15.952;15.353;0
489.163644;430.835684;18.257;17.713;16.616;15.912;15.329;0
395.560156;474.430532;18.214;17.612;16.537;15.900;15.307;0
343.926684;402.739044;18.192;17.546;16.558;15.901;15.316;0
393.673084;407.356932;18.120;17.626;16.493;15.891;15.280;0
426.457660;307.976772;18.082;17.652;16.479;15.927;15.306;0
418.031836;358.697508;18.128;17.622;16.500;15.845;15.310;0
400.932732;394.791588;17.997;17.570;16.509;15.883;15.219;0
464.965756;334.634788;18.082;17.542;16.498;15.824;15.237;0
486.824252;323.758692;18.164;17.516;16.433;15.805;15.220;0
435.776508;420.290116;18.012;17.532;16.431;15.851;15.288;0
387.578556;391.617604;18.085;17.473;16.389;15.733;15.246;0
417.717852;399.286628;18.040;17.499;16.353;15.835;15.186;0
450.232444;406.751140;18.048;17.470;16.390;15.801;15.177;0
437.913148;395.247428;17.969;17.431;16.326;15.787;15.200;0
420.642620;380.056868;17.943;17.355;16.415;15.751;15.165;0
455.819036;393.729252;17.995;17.399;16.398;15.719;15.175;0
444.186492;362.955300;17.903;17.423;16.335;15.757;15.132;0
391.960252;392.477540;17.936;17.373;16.379;15.742;15.141;0
414.624476;312.406692;17.864;17.377;16.411;15.752;15.135;0
460.779420;424.925252;17.885;17.256;16.317;15.721;15.124;0
401.715228;403.170596;17.787;17.372;16.320;15.720;15.078;0
434.989788;356.287716;17.747;17.316;16.316;15.656;15.057;0
449.262684;426.914052;17.802;17.275;16.215;15.622;15.089;0
477.048508;433.605220;17.726;17.281;16.253;15.673;15.066;0
469.626236;393.983044;17.759;17.195;16.290;15.644;15.040;0
465.811612;386.956068;17.654;17.262;16.223;15.656;15.049;0
440.086748;474.446372;17.728;17.258;16.245;15.592;15.009;0
318.044476;328.017892;17.657;17.172;16.202;15.616;15.026;0
390.260796;385.537860;17.691;17.190;16.189;15.545;14.991;0
642.588124;474.056708;17.641;17.193;16.184;15.619;14.998;0
539.050140;298.489668;17.676;17.176;16.153;15.553;14.991;0
477.894364;387.656548;17.578;17.181;16.138;15.580;14.971;0
419.830204;381.199108;17.583;17.146;16.123;15.583;15.004;0
435.315740;367.488004;17.631;17.043;16.112;15.572;14.956;0
519.202972;362.544516;17.576;17.133;16.123;15.523;14.962;0
449.647068;355.366884;17.582;17.046;16.059;15.476;14.951;0
446.435068;534.028356;17.539;17.156;16.078;15.517;14.962;0
536.907164;343.794884;17.561;17.045;16.030;15.482;14.966;0
421.996764;411.888932;17.430;17.015;16.145;15.494;14.935;0
472.985724;318.111908;17.556;17.037;16.068;15.468;14.914;0
437.734684;212.731908;17.491;16.976;15.960;15.469;14.889;0
471.894876;399.957188;17.466;16.995;15.976;15.399;14.894;0
316.252092;408.497764;17.476;17.036;16.003;15.431;14.854;0
393.991292;394.429380;17.383;16.998;15.939;15.427;14.836;0
423.331900;277.415780;17.370;16.893;15.955;15.347;14.886;0
394.365116;419.256996;17.341;17.045;15.952;15.413;14.821;0
525.722716;226.654916;17.431;16.936;15.973;15.400;14.810;0
311.354716;356.612260;17.314;16.902;15.955;15.381;14.806;0
405.574908;489.933316;17.340;16.921;15.927;15.357;14.792;0
423.978524;393.184004;17.279;16.906;15.904;15.326;14.800;0
432.087900;400.640772;17.292;16.897;15.870;15.386;14.776;0
662.874588;281.296932;17.134;16.836;15.929;15.322;14.802;0
525.318972;468.322980;17.177;16.865;15.892;15.292;14.780;0
478.340700;315.088580;17.168;16.698;15.864;15.302;14.692;0
454.292764;373.035524;17.185;16.782;15.826;15.281;14.758;0
527.133180;343.803332;17.216;16.707;15.786;15.243;14.694;0
500.184060;346.627076;17.115;16.766;15.825;15.224;14.694;0
393.259836;448.154084;17.179;16.681;15.843;15.265;14.692;0
529.929116;436.609892;17.050;16.735;15.805;15.275;14.702;0
453.116028;332.543556;17.120;16.734;15.770;15.204;14.637;0
